user_id,animal,frequency,est_i,estimation
97187158,pigeon,4,0,61
97187158,pigeon,4,1,61
97187158,pigeon,4,2,57
97187158,guinea_pig,2,0,67
97187158,guinea_pig,2,1,30
97187158,guinea_pig,2,2,61
97187158,rabbit,3,0,73
97187158,rabbit,3,1,65
97187158,rabbit,3,2,61
97187158,mouse,1,0,66
97187158,mouse,1,1,67
97187158,mouse,1,2,60
01411268,rabbit,3,0,4
01411268,rabbit,3,1,75
01411268,rabbit,3,2,82
01411268,pigeon,1,0,78
01411268,pigeon,1,1,97
01411268,pigeon,1,2,100
01411268,mouse,2,0,91
01411268,mouse,2,1,91
01411268,mouse,2,2,82
01411268,guinea_pig,4,0,77
01411268,guinea_pig,4,1,100
01411268,guinea_pig,4,2,91
26504936,mouse,3,0,70
26504936,mouse,3,1,58
26504936,mouse,3,2,56
26504936,guinea_pig,1,0,60
26504936,guinea_pig,1,1,63
26504936,guinea_pig,1,2,57
26504936,pigeon,2,0,70
26504936,pigeon,2,1,62
26504936,pigeon,2,2,31
26504936,rabbit,4,0,68
26504936,rabbit,4,1,62
26504936,rabbit,4,2,61
16500470,guinea_pig,3,0,67
16500470,guinea_pig,3,1,74
16500470,guinea_pig,3,2,76
16500470,pigeon,1,0,26
16500470,pigeon,1,1,25
16500470,pigeon,1,2,25
16500470,mouse,4,0,52
16500470,mouse,4,1,54
16500470,mouse,4,2,54
16500470,rabbit,2,0,59
16500470,rabbit,2,1,60
16500470,rabbit,2,2,60
48474653,guinea_pig,3,0,25
48474653,guinea_pig,3,1,28
48474653,guinea_pig,3,2,20
48474653,pigeon,1,0,73
48474653,pigeon,1,1,37
48474653,pigeon,1,2,25
48474653,rabbit,4,0,15
48474653,rabbit,4,1,20
48474653,rabbit,4,2,18
48474653,mouse,2,0,32
48474653,mouse,2,1,31
48474653,mouse,2,2,30
55650007,pigeon,2,0,40
55650007,pigeon,2,1,48
55650007,pigeon,2,2,49
55650007,guinea_pig,1,0,53
55650007,guinea_pig,1,1,66
55650007,guinea_pig,1,2,60
55650007,rabbit,3,0,20
55650007,rabbit,3,1,30
55650007,rabbit,3,2,33
55650007,mouse,4,0,50
55650007,mouse,4,1,55
55650007,mouse,4,2,35
78828141,rabbit,2,0,60
78828141,rabbit,2,1,55
78828141,rabbit,2,2,45
78828141,guinea_pig,3,0,45
78828141,guinea_pig,3,1,45
78828141,guinea_pig,3,2,40
78828141,pigeon,4,0,65
78828141,pigeon,4,1,30
78828141,pigeon,4,2,30
78828141,mouse,1,0,75
78828141,mouse,1,1,70
78828141,mouse,1,2,55
24404403,mouse,3,0,75
24404403,mouse,3,1,60
24404403,mouse,3,2,85
24404403,rabbit,2,0,50
24404403,rabbit,2,1,65
24404403,rabbit,2,2,75
24404403,pigeon,1,0,70
24404403,pigeon,1,1,90
24404403,pigeon,1,2,85
24404403,guinea_pig,4,0,90
24404403,guinea_pig,4,1,35
24404403,guinea_pig,4,2,40
11334694,guinea_pig,1,0,100
11334694,guinea_pig,1,1,100
11334694,guinea_pig,1,2,100
11334694,pigeon,3,0,50
11334694,pigeon,3,1,40
11334694,pigeon,3,2,50
11334694,mouse,2,0,80
11334694,mouse,2,1,90
11334694,mouse,2,2,80
11334694,rabbit,4,0,90
11334694,rabbit,4,1,100
11334694,rabbit,4,2,90
44574576,mouse,4,0,66
44574576,mouse,4,1,65
44574576,mouse,4,2,53
44574576,pigeon,3,0,43
44574576,pigeon,3,1,47
44574576,pigeon,3,2,48
44574576,rabbit,1,0,64
44574576,rabbit,1,1,61
44574576,rabbit,1,2,70
44574576,guinea_pig,2,0,54
44574576,guinea_pig,2,1,54
44574576,guinea_pig,2,2,53
24925758,mouse,1,0,53
24925758,mouse,1,1,75
24925758,mouse,1,2,78
24925758,guinea_pig,2,0,65
24925758,guinea_pig,2,1,65
24925758,guinea_pig,2,2,60
24925758,pigeon,3,0,31
24925758,pigeon,3,1,30
24925758,pigeon,3,2,25
24925758,rabbit,4,0,90
24925758,rabbit,4,1,72
24925758,rabbit,4,2,86
62098204,mouse,2,0,65
62098204,mouse,2,1,70
62098204,mouse,2,2,85
62098204,pigeon,1,0,100
62098204,pigeon,1,1,100
62098204,pigeon,1,2,100
62098204,rabbit,4,0,95
62098204,rabbit,4,1,95
62098204,rabbit,4,2,97
62098204,guinea_pig,3,0,20
62098204,guinea_pig,3,1,18
62098204,guinea_pig,3,2,30
03765488,mouse,1,0,0
03765488,mouse,1,1,90
03765488,mouse,1,2,80
03765488,pigeon,3,0,10
03765488,pigeon,3,1,5
03765488,pigeon,3,2,10
03765488,rabbit,2,0,90
03765488,rabbit,2,1,90
03765488,rabbit,2,2,95
03765488,guinea_pig,4,0,60
03765488,guinea_pig,4,1,80
03765488,guinea_pig,4,2,80
74972808,rabbit,1,0,56
74972808,rabbit,1,1,75
74972808,rabbit,1,2,81
74972808,pigeon,3,0,54
74972808,pigeon,3,1,58
74972808,pigeon,3,2,43
74972808,guinea_pig,2,0,43
74972808,guinea_pig,2,1,64
74972808,guinea_pig,2,2,60
74972808,mouse,4,0,70
74972808,mouse,4,1,78
74972808,mouse,4,2,73
62291934,mouse,4,0,20
62291934,mouse,4,1,30
62291934,mouse,4,2,20
62291934,guinea_pig,2,0,80
62291934,guinea_pig,2,1,85
62291934,guinea_pig,2,2,75
62291934,pigeon,3,0,80
62291934,pigeon,3,1,85
62291934,pigeon,3,2,90
62291934,rabbit,1,0,60
62291934,rabbit,1,1,70
62291934,rabbit,1,2,30
51736548,rabbit,1,0,80
51736548,rabbit,1,1,80
51736548,rabbit,1,2,66
51736548,mouse,3,0,87
51736548,mouse,3,1,86
51736548,mouse,3,2,81
51736548,guinea_pig,2,0,60
51736548,guinea_pig,2,1,72
51736548,guinea_pig,2,2,71
51736548,pigeon,4,0,69
51736548,pigeon,4,1,71
51736548,pigeon,4,2,81
70325433,pigeon,4,0,95
70325433,pigeon,4,1,95
70325433,pigeon,4,2,85
70325433,mouse,3,0,40
70325433,mouse,3,1,15
70325433,mouse,3,2,15
70325433,guinea_pig,2,0,70
70325433,guinea_pig,2,1,65
70325433,guinea_pig,2,2,60
70325433,rabbit,1,0,99
70325433,rabbit,1,1,99
70325433,rabbit,1,2,99
40871028,guinea_pig,1,0,71
40871028,guinea_pig,1,1,20
40871028,guinea_pig,1,2,30
40871028,mouse,2,0,42
40871028,mouse,2,1,50
40871028,mouse,2,2,50
40871028,rabbit,3,0,80
40871028,rabbit,3,1,80
40871028,rabbit,3,2,70
40871028,pigeon,4,0,10
40871028,pigeon,4,1,10
40871028,pigeon,4,2,10
28365104,guinea_pig,1,0,100
28365104,guinea_pig,1,1,100
28365104,guinea_pig,1,2,100
28365104,pigeon,4,0,90
28365104,pigeon,4,1,85
28365104,pigeon,4,2,90
28365104,mouse,2,0,60
28365104,mouse,2,1,75
28365104,mouse,2,2,78
28365104,rabbit,3,0,50
28365104,rabbit,3,1,35
28365104,rabbit,3,2,15
92288627,guinea_pig,4,0,70
92288627,guinea_pig,4,1,80
92288627,guinea_pig,4,2,65
92288627,mouse,1,0,80
92288627,mouse,1,1,80
92288627,mouse,1,2,90
92288627,pigeon,3,0,25
92288627,pigeon,3,1,50
92288627,pigeon,3,2,40
92288627,rabbit,2,0,85
92288627,rabbit,2,1,90
92288627,rabbit,2,2,75
05598845,pigeon,1,0,60
05598845,pigeon,1,1,75
05598845,pigeon,1,2,20
05598845,guinea_pig,4,0,40
05598845,guinea_pig,4,1,45
05598845,guinea_pig,4,2,80
05598845,rabbit,2,0,15
05598845,rabbit,2,1,55
05598845,rabbit,2,2,35
05598845,mouse,3,0,65
05598845,mouse,3,1,75
05598845,mouse,3,2,44
05598845,pigeon,1,0,60
05598845,pigeon,1,1,75
05598845,pigeon,1,2,20
05598845,guinea_pig,4,0,40
05598845,guinea_pig,4,1,45
05598845,guinea_pig,4,2,80
05598845,rabbit,2,0,15
05598845,rabbit,2,1,55
05598845,rabbit,2,2,35
05598845,mouse,3,0,65
05598845,mouse,3,1,75
05598845,mouse,3,2,44
05598845,mouse,3,0,44
63977526,guinea_pig,1,0,63
63977526,guinea_pig,1,1,75
63977526,guinea_pig,1,2,68
63977526,pigeon,3,0,10
63977526,pigeon,3,1,15
63977526,pigeon,3,2,21
63977526,mouse,4,0,44
63977526,mouse,4,1,50
63977526,mouse,4,2,50
63977526,rabbit,2,0,62
63977526,rabbit,2,1,62
63977526,rabbit,2,2,69
19028915,rabbit,4,0,50
19028915,rabbit,4,1,50
19028915,rabbit,4,2,60
19028915,mouse,3,0,5
19028915,mouse,3,1,10
19028915,mouse,3,2,10
19028915,guinea_pig,1,0,20
19028915,guinea_pig,1,1,30
19028915,guinea_pig,1,2,20
19028915,pigeon,2,0,60
19028915,pigeon,2,1,5
19028915,pigeon,2,2,70
68216534,guinea_pig,1,0,40
68216534,guinea_pig,1,1,80
68216534,guinea_pig,1,2,45
68216534,mouse,4,0,60
68216534,mouse,4,1,40
68216534,mouse,4,2,35
68216534,pigeon,2,0,35
68216534,pigeon,2,1,65
68216534,pigeon,2,2,60
68216534,rabbit,3,0,30
68216534,rabbit,3,1,45
68216534,rabbit,3,2,45
07006761,guinea_pig,1,0,30
07006761,guinea_pig,1,1,35
07006761,guinea_pig,1,2,35
07006761,rabbit,3,0,25
07006761,rabbit,3,1,30
07006761,rabbit,3,2,30
07006761,pigeon,4,0,35
07006761,pigeon,4,1,40
07006761,pigeon,4,2,40
07006761,mouse,2,0,45
07006761,mouse,2,1,55
07006761,mouse,2,2,55
96601236,guinea_pig,1,0,100
96601236,guinea_pig,1,1,100
96601236,guinea_pig,1,2,100
96601236,rabbit,2,0,80
96601236,rabbit,2,1,85
96601236,rabbit,2,2,100
96601236,pigeon,3,0,45
96601236,pigeon,3,1,80
96601236,pigeon,3,2,80
96601236,mouse,4,0,90
96601236,mouse,4,1,100
96601236,mouse,4,2,100
93826870,rabbit,4,0,75
93826870,rabbit,4,1,80
93826870,rabbit,4,2,60
93826870,mouse,3,0,40
93826870,mouse,3,1,45
93826870,mouse,3,2,50
93826870,guinea_pig,1,0,60
93826870,guinea_pig,1,1,50
93826870,guinea_pig,1,2,50
93826870,pigeon,2,0,60
93826870,pigeon,2,1,63
93826870,pigeon,2,2,65
08316395,pigeon,4,0,15
08316395,pigeon,4,1,20
08316395,pigeon,4,2,20
08316395,mouse,3,0,35
08316395,mouse,3,1,15
08316395,mouse,3,2,30
08316395,rabbit,1,0,20
08316395,rabbit,1,1,40
08316395,rabbit,1,2,50
08316395,guinea_pig,2,0,38
08316395,guinea_pig,2,1,38
08316395,guinea_pig,2,2,50
47603767,rabbit,4,0,80
47603767,rabbit,4,1,50
47603767,rabbit,4,2,50
47603767,pigeon,2,0,67
47603767,pigeon,2,1,80
47603767,pigeon,2,2,55
47603767,guinea_pig,1,0,88
47603767,guinea_pig,1,1,80
47603767,guinea_pig,1,2,55
47603767,mouse,3,0,45
47603767,mouse,3,1,56
47603767,mouse,3,2,90
21301430,guinea_pig,2,0,95
21301430,guinea_pig,2,1,85
21301430,guinea_pig,2,2,90
21301430,mouse,3,0,60
21301430,mouse,3,1,65
21301430,mouse,3,2,70
21301430,pigeon,1,0,95
21301430,pigeon,1,1,90
21301430,pigeon,1,2,90
21301430,rabbit,4,0,85
21301430,rabbit,4,1,90
21301430,rabbit,4,2,85
62405276,pigeon,4,0,100
62405276,pigeon,4,1,0
62405276,pigeon,4,2,60
62405276,mouse,3,0,70
62405276,mouse,3,1,20
62405276,mouse,3,2,30
62405276,guinea_pig,2,0,60
62405276,guinea_pig,2,1,70
62405276,guinea_pig,2,2,100
62405276,rabbit,1,0,100
62405276,rabbit,1,1,100
62405276,rabbit,1,2,60
25157957,pigeon,3,0,10
25157957,pigeon,3,1,20
25157957,pigeon,3,2,30
25157957,guinea_pig,2,0,80
25157957,guinea_pig,2,1,80
25157957,guinea_pig,2,2,75
25157957,rabbit,4,0,1
25157957,rabbit,4,1,1
25157957,rabbit,4,2,5
25157957,mouse,1,0,10
25157957,mouse,1,1,26
25157957,mouse,1,2,20
90149204,pigeon,2,0,70
90149204,pigeon,2,1,65
90149204,pigeon,2,2,90
90149204,mouse,3,0,80
90149204,mouse,3,1,70
90149204,mouse,3,2,60
90149204,guinea_pig,4,0,50
90149204,guinea_pig,4,1,40
90149204,guinea_pig,4,2,40
90149204,rabbit,1,0,70
90149204,rabbit,1,1,60
90149204,rabbit,1,2,40
31692917,pigeon,2,0,80
31692917,pigeon,2,1,80
31692917,pigeon,2,2,90
31692917,rabbit,1,0,99
31692917,rabbit,1,1,99
31692917,rabbit,1,2,99
31692917,guinea_pig,3,0,70
31692917,guinea_pig,3,1,80
31692917,guinea_pig,3,2,60
31692917,mouse,4,0,90
31692917,mouse,4,1,70
31692917,mouse,4,2,70
90014012,pigeon,1,0,70
90014012,pigeon,1,1,40
90014012,pigeon,1,2,62
90014012,guinea_pig,2,0,45
90014012,guinea_pig,2,1,36
90014012,guinea_pig,2,2,49
90014012,mouse,3,0,27
90014012,mouse,3,1,18
90014012,mouse,3,2,15
90014012,rabbit,4,0,11
90014012,rabbit,4,1,16
90014012,rabbit,4,2,15
62958182,guinea_pig,2,0,50
62958182,guinea_pig,2,1,76
62958182,guinea_pig,2,2,88
62958182,mouse,3,0,41
62958182,mouse,3,1,34
62958182,mouse,3,2,46
62958182,rabbit,1,0,100
62958182,rabbit,1,1,100
62958182,rabbit,1,2,100
62958182,pigeon,4,0,88
62958182,pigeon,4,1,90
62958182,pigeon,4,2,83
00147200,mouse,4,0,65
00147200,mouse,4,1,77
00147200,mouse,4,2,89
00147200,pigeon,3,0,51
00147200,pigeon,3,1,22
00147200,pigeon,3,2,51
00147200,rabbit,1,0,46
00147200,rabbit,1,1,33
00147200,rabbit,1,2,60
00147200,guinea_pig,2,0,60
00147200,guinea_pig,2,1,62
00147200,guinea_pig,2,2,65
81805966,guinea_pig,3,0,95
81805966,guinea_pig,3,1,90
81805966,guinea_pig,3,2,60
81805966,pigeon,1,0,50
81805966,pigeon,1,1,80
81805966,pigeon,1,2,70
81805966,rabbit,2,0,65
81805966,rabbit,2,1,60
81805966,rabbit,2,2,50
81805966,mouse,4,0,45
81805966,mouse,4,1,40
81805966,mouse,4,2,40
56359958,guinea_pig,1,0,52
56359958,guinea_pig,1,1,55
56359958,guinea_pig,1,2,46
56359958,rabbit,4,0,50
56359958,rabbit,4,1,50
56359958,rabbit,4,2,50
56359958,pigeon,3,0,38
56359958,pigeon,3,1,40
56359958,pigeon,3,2,25
56359958,mouse,2,0,80
56359958,mouse,2,1,75
56359958,mouse,2,2,80
52888916,rabbit,2,0,50
52888916,rabbit,2,1,36
52888916,rabbit,2,2,43
52888916,pigeon,3,0,17
52888916,pigeon,3,1,10
52888916,pigeon,3,2,13
52888916,mouse,1,0,17
52888916,mouse,1,1,24
52888916,mouse,1,2,50
52888916,guinea_pig,4,0,43
52888916,guinea_pig,4,1,33
52888916,guinea_pig,4,2,41
74666657,pigeon,3,0,40
74666657,pigeon,3,1,45
74666657,pigeon,3,2,70
74666657,guinea_pig,1,0,100
74666657,guinea_pig,1,1,100
74666657,guinea_pig,1,2,100
74666657,rabbit,4,0,10
74666657,rabbit,4,1,25
74666657,rabbit,4,2,100
74666657,mouse,2,0,75
74666657,mouse,2,1,60
74666657,mouse,2,2,80
44271541,pigeon,2,0,15
44271541,pigeon,2,1,20
44271541,pigeon,2,2,20
44271541,rabbit,1,0,10
44271541,rabbit,1,1,10
44271541,rabbit,1,2,10
44271541,mouse,4,0,5
44271541,mouse,4,1,5
44271541,mouse,4,2,3
44271541,guinea_pig,3,0,10
44271541,guinea_pig,3,1,5
44271541,guinea_pig,3,2,5
11478710,mouse,3,0,61
11478710,mouse,3,1,50
11478710,mouse,3,2,65
11478710,guinea_pig,2,0,85
11478710,guinea_pig,2,1,44
11478710,guinea_pig,2,2,64
11478710,pigeon,4,0,25
11478710,pigeon,4,1,16
11478710,pigeon,4,2,26
11478710,rabbit,1,0,40
11478710,rabbit,1,1,33
11478710,rabbit,1,2,47
11478710,mouse,3,0,61
11478710,mouse,3,1,50
11478710,mouse,3,2,65
11478710,guinea_pig,2,0,85
11478710,guinea_pig,2,1,44
11478710,guinea_pig,2,2,64
11478710,pigeon,4,0,25
11478710,pigeon,4,1,16
11478710,pigeon,4,2,26
11478710,rabbit,1,0,40
11478710,rabbit,1,1,33
11478710,rabbit,1,2,47
11478710,rabbit,1,0,47
78430448,mouse,4,0,70
78430448,mouse,4,1,80
78430448,mouse,4,2,90
78430448,rabbit,1,0,95
78430448,rabbit,1,1,100
78430448,rabbit,1,2,100
78430448,pigeon,2,0,25
78430448,pigeon,2,1,100
78430448,pigeon,2,2,80
78430448,guinea_pig,3,0,33
78430448,guinea_pig,3,1,25
78430448,guinea_pig,3,2,25
31174284,rabbit,1,0,100
31174284,rabbit,1,1,50
31174284,rabbit,1,2,10
31174284,pigeon,3,0,31
31174284,pigeon,3,1,42
31174284,pigeon,3,2,7
31174284,mouse,4,0,26
31174284,mouse,4,1,62
31174284,mouse,4,2,4
31174284,guinea_pig,2,0,68
31174284,guinea_pig,2,1,52
31174284,guinea_pig,2,2,74
31174284,rabbit,1,0,100
31174284,rabbit,1,1,50
31174284,rabbit,1,2,10
31174284,pigeon,3,0,31
31174284,pigeon,3,1,42
31174284,pigeon,3,2,7
31174284,mouse,4,0,26
31174284,mouse,4,1,62
31174284,mouse,4,2,4
31174284,guinea_pig,2,0,68
31174284,guinea_pig,2,1,52
31174284,guinea_pig,2,2,74
31174284,guinea_pig,2,0,71
72941617,pigeon,2,0,70
72941617,pigeon,2,1,25
72941617,pigeon,2,2,50
72941617,guinea_pig,3,0,3
72941617,guinea_pig,3,1,41
72941617,guinea_pig,3,2,21
72941617,rabbit,4,0,53
72941617,rabbit,4,1,51
72941617,rabbit,4,2,36
72941617,mouse,1,0,75
72941617,mouse,1,1,92
72941617,mouse,1,2,100
93138546,pigeon,4,0,60
93138546,pigeon,4,1,40
93138546,pigeon,4,2,90
93138546,rabbit,1,0,90
93138546,rabbit,1,1,95
93138546,rabbit,1,2,100
93138546,guinea_pig,2,0,70
93138546,guinea_pig,2,1,75
93138546,guinea_pig,2,2,80
93138546,mouse,3,0,50
93138546,mouse,3,1,40
93138546,mouse,3,2,40
78379380,rabbit,2,0,60
78379380,rabbit,2,1,40
78379380,rabbit,2,2,30
78379380,pigeon,1,0,70
78379380,pigeon,1,1,60
78379380,pigeon,1,2,65
78379380,guinea_pig,4,0,65
78379380,guinea_pig,4,1,40
78379380,guinea_pig,4,2,60
78379380,mouse,3,0,20
78379380,mouse,3,1,10
78379380,mouse,3,2,3
22145837,rabbit,1,0,68
22145837,rabbit,1,1,65
22145837,rabbit,1,2,66
22145837,guinea_pig,4,0,36
22145837,guinea_pig,4,1,32
22145837,guinea_pig,4,2,31
22145837,mouse,3,0,46
22145837,mouse,3,1,45
22145837,mouse,3,2,48
22145837,pigeon,2,0,55
22145837,pigeon,2,1,59
22145837,pigeon,2,2,50
73892424,guinea_pig,2,0,66
73892424,guinea_pig,2,1,73
73892424,guinea_pig,2,2,77
73892424,pigeon,1,0,60
73892424,pigeon,1,1,70
73892424,pigeon,1,2,75
73892424,rabbit,4,0,70
73892424,rabbit,4,1,76
73892424,rabbit,4,2,83
73892424,mouse,3,0,54
73892424,mouse,3,1,59
73892424,mouse,3,2,66
68733763,rabbit,3,0,65
68733763,rabbit,3,1,30
68733763,rabbit,3,2,45
68733763,guinea_pig,1,0,100
68733763,guinea_pig,1,1,100
68733763,guinea_pig,1,2,100
68733763,pigeon,4,0,95
68733763,pigeon,4,1,95
68733763,pigeon,4,2,95
68733763,mouse,2,0,85
68733763,mouse,2,1,95
68733763,mouse,2,2,85
77445298,mouse,4,0,50
77445298,mouse,4,1,70
77445298,mouse,4,2,70
77445298,rabbit,1,0,50
77445298,rabbit,1,1,50
77445298,rabbit,1,2,70
77445298,guinea_pig,3,0,50
77445298,guinea_pig,3,1,50
77445298,guinea_pig,3,2,70
77445298,pigeon,2,0,50
77445298,pigeon,2,1,50
77445298,pigeon,2,2,70
22208848,guinea_pig,3,0,60
22208848,guinea_pig,3,1,60
22208848,guinea_pig,3,2,50
22208848,rabbit,4,0,0
22208848,rabbit,4,1,0
22208848,rabbit,4,2,0
22208848,pigeon,2,0,0
22208848,pigeon,2,1,20
22208848,pigeon,2,2,30
22208848,mouse,1,0,10
22208848,mouse,1,1,0
22208848,mouse,1,2,0
